id,budget,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
184,12000000,Jackie Brown,23.632,1997-04-10,39673162,154,7.3,5167,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
185,2200000,A Clockwork Orange,49.868,1971-12-19,26589000,137,8.2,10506,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
186,27000000,Lucky Number Slevin,19.241,2006-02-24,56308881,110,7.5,3309,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0
187,40000000,Sin City,27.358,2005-04-01,158733820,124,7.4,6664,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
189,65000000,Sin City: A Dame to Kill For,68.683,2014-08-20,39407616,102,6.4,3157,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
190,0,Das Dorf der Freundschaft,0.651,2001-08-25,0,52,9.0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
191,3000000,Die innere Sicherheit,3.65,2001-02-01,0,106,6.8,34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
192,18000000,The Name of the Rose,23.788,1986-09-24,77200000,130,7.4,2370,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
193,38000000,Star Trek: Generations,13.063,1994-11-18,120000000,118,6.5,1002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
194,10000000,Le Fabuleux Destin d'Amélie Poulain,27.776,2001-04-25,173921954,122,7.9,9557,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
195,0,Trouble in Paradise,9.242,1932-10-30,0,83,7.5,188,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
196,40000000,Back to the Future Part III,35.957,1990-05-25,244527583,119,7.4,8520,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
197,72000000,Braveheart,46.905,1995-03-14,213216216,178,7.9,8227,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
198,0,To Be or Not to Be,11.213,1942-03-05,0,99,7.9,486,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
